cluster,sensors,avg_lift,target,acc_A,std_A,acc_B,std_B,diff
Cluster_0,"['S33', 'S34', 'S35', 'S38', 'S46', 'S51']",1.0863,S33,0.9920391091456016,0.00263167440711757,0.9912855795118958,0.0038240442606482243,0.0007535296337057851
Cluster_1,"['S2', 'S6', 'S16', 'S18', 'S25', 'S43']",1.0482,S2,0.7853025576720635,0.17340202102187605,0.9051338590060671,0.07178492406148036,-0.11983130133400366
Cluster_2,"['S8', 'S12', 'S30', 'S52']",1.0471,S8,0.9899144093738869,0.010283878286179127,0.9790327084095528,0.02622389906221591,0.010881700964334051
Cluster_3,"['S15', 'S31', 'S49', 'S57']",1.0468,S15,0.9987200062993603,0.00021677914318034736,0.9969114610576071,0.001534132993658811,0.0018085452417532233
Cluster_4,"['S1', 'S10', 'S21', 'S26', 'S36', 'S54']",1.042,S1,0.9855104448273778,0.00475852804672751,0.9855147653259337,0.005345496842008502,-4.320498555920871e-06
Cluster_5,"['S5', 'S44', 'S55']",1.0403,S5,0.4180169572432836,0.2505339295861514,0.4861321101586024,0.06779858724909267,-0.06811515291531883
Cluster_6,"['S4', 'S32', 'S40', 'S47', 'S58', 'S59']",1.0394,S4,0.9728514989527564,0.011312843759072343,0.9728111532206337,0.019430369760352978,4.034573212263748e-05
Cluster_7,"['S0', 'S7', 'S13']",1.038,S0,0.9109812320520481,0.06468468368025848,0.8086814327786366,0.17795700136029005,0.10229979927341148
Cluster_8,"['S22', 'S24', 'S48']",1.0352,S22,0.7994961681465308,0.1422409851989246,0.7175412584096194,0.21435275677425422,0.08195490973691144
Cluster_9,"['S3', 'S23', 'S37', 'S50', 'S56']",1.0339,S3,0.9797396200088163,0.008024535577463215,0.9718139426472286,0.023209004398994693,0.007925677361587669
Cluster_10,"['S28', 'S45']",1.0299,S28,0.9995122879258512,0.0002831513359297229,0.999558005524644,0.00022025504490496485,-4.57175987927938e-05
Cluster_11,"['S9', 'S11', 'S42', 'S53']",1.0272,S9,0.9821578126245488,0.01218927722189703,0.9781630208871017,0.018989466944896373,0.003994791737447101
Cluster_12,"['S14', 'S17', 'S39', 'S41']",1.0261,S14,0.9913747814871992,0.002393587427100373,0.9915512036376943,0.002679393523693478,-0.00017642215049518128
