mask_ratio,num_masked,num_visible,avg_accuracy,std_accuracy,avg_mse,masked_sensors
0.05,3,58,-inf,,0.0015863082697615027,"[23, 48, 50]"
0.06,3,58,-inf,,0.0016670312313362956,"[23, 48, 50]"
0.07,4,57,-inf,,0.001688540242612362,"[23, 47, 48, 50]"
0.08,4,57,-inf,,0.0016364219598472118,"[23, 47, 48, 50]"
0.09,5,56,-inf,,0.0018032078421674669,"[10, 23, 47, 48, 50]"
0.1,6,55,-inf,,0.001945295741315931,"[10, 23, 42, 47, 48, 50]"
0.11,6,55,-inf,,0.0019584431545808913,"[10, 23, 42, 47, 48, 50]"
0.12,7,54,-inf,,0.0018885541474446654,"[10, 23, 42, 47, 48, 50, 58]"
0.13,7,54,-inf,,0.0019354097195900977,"[10, 23, 42, 47, 48, 50, 58]"
0.14,8,53,-inf,,0.00257169634103775,"[4, 10, 23, 42, 47, 48, 50, 58]"
0.15,9,52,-inf,,0.0026949122920632363,"[4, 10, 13, 23, 42, 47, 48, 50, 58]"
0.16,9,52,-inf,,0.0026833917573094368,"[4, 10, 13, 23, 42, 47, 48, 50, 58]"
0.17,10,51,-inf,,0.002285979329608381,"[4, 10, 13, 23, 39, 42, 47, 48, 50, 58]"
0.18,10,51,-inf,,0.0022791076358407735,"[4, 10, 13, 23, 39, 42, 47, 48, 50, 58]"
0.19,11,50,-inf,,0.003186806356534362,"[0, 4, 10, 13, 23, 39, 42, 47, 48, 50, 58]"
0.2,12,49,-inf,,0.003651004461571574,"[0, 4, 9, 10, 13, 23, 39, 42, 47, 48, 50, 58]"
0.21,12,49,-inf,,0.003640408585779369,"[0, 4, 9, 10, 13, 23, 39, 42, 47, 48, 50, 58]"
0.22,13,48,-inf,,0.004258973705582321,"[0, 4, 9, 10, 13, 23, 28, 39, 42, 47, 48, 50, 58]"
0.23,14,47,-inf,,0.004705720078200102,"[0, 4, 9, 10, 13, 23, 25, 28, 39, 42, 47, 48, 50, 58]"
0.24,14,47,-inf,,0.004671670338138938,"[0, 4, 9, 10, 13, 23, 25, 28, 39, 42, 47, 48, 50, 58]"
0.25,15,46,-inf,,0.005499616889283061,"[0, 4, 9, 10, 13, 23, 25, 28, 39, 40, 42, 47, 48, 50, 58]"
0.26,15,46,-inf,,0.005415434958413243,"[0, 4, 9, 10, 13, 23, 25, 28, 39, 40, 42, 47, 48, 50, 58]"
0.27,16,45,-inf,,0.005196040840819478,"[0, 2, 4, 9, 10, 13, 23, 25, 28, 39, 40, 42, 47, 48, 50, 58]"
0.28,17,44,-inf,,0.0049090680712834,"[0, 2, 4, 9, 10, 13, 18, 23, 25, 28, 39, 40, 42, 47, 48, 50, 58]"
0.29,17,44,-inf,,0.0047337043331936,"[0, 2, 4, 9, 10, 13, 18, 23, 25, 28, 39, 40, 42, 47, 48, 50, 58]"
0.3,18,43,-inf,,0.00488913603592664,"[0, 2, 4, 9, 10, 13, 14, 18, 23, 25, 28, 39, 40, 42, 47, 48, 50, 58]"
0.31,18,43,-inf,,0.004833722542971372,"[0, 2, 4, 9, 10, 13, 14, 18, 23, 25, 28, 39, 40, 42, 47, 48, 50, 58]"
0.32,19,42,-inf,,0.005039928713813424,"[0, 2, 4, 9, 10, 11, 13, 14, 18, 23, 25, 28, 39, 40, 42, 47, 48, 50, 58]"
0.33,20,41,-inf,,0.007248399965465069,"[0, 2, 4, 9, 10, 11, 13, 14, 18, 23, 25, 28, 39, 40, 42, 47, 48, 50, 55, 58]"
0.34,20,41,-inf,,0.007134569827467203,"[0, 2, 4, 9, 10, 11, 13, 14, 18, 23, 25, 28, 39, 40, 42, 47, 48, 50, 55, 58]"
0.35,21,40,-inf,,0.007807722548022866,"[0, 2, 4, 9, 10, 11, 13, 14, 18, 23, 25, 28, 38, 39, 40, 42, 47, 48, 50, 55, 58]"
0.36,21,40,-inf,,0.007848233608528972,"[0, 2, 4, 9, 10, 11, 13, 14, 18, 23, 25, 28, 38, 39, 40, 42, 47, 48, 50, 55, 58]"
