mask_ratio,num_masked,num_visible,avg_accuracy,std_accuracy,avg_mse
0.05,3,58,-inf,,0.0560885088192299
0.06,3,58,-inf,,0.0838712685322389
0.07,4,57,-inf,,0.06818074869923293
0.08,4,57,-inf,,0.07618646846152842
0.09,5,56,-inf,,0.0827091668639332
0.1,6,55,-inf,,0.09224933103658259
0.11,6,55,-inf,,0.07389838807284832
0.12,7,54,-inf,,0.07547822909429669
0.13,7,54,-inf,,0.06467840283177793
0.14,8,53,-inf,,0.07182456030510366
0.15,9,52,-inf,,0.08359548857435584
0.16,9,52,-inf,,0.07750482959672808
0.17,10,51,-inf,,0.07974844850599766
0.18,10,51,-inf,,0.08028253586962819
0.19,11,50,-inf,,0.08057298859581351
0.2,12,49,-inf,,0.07318294858559966
0.21,12,49,-inf,,0.07963117020204663
0.22,13,48,-inf,,0.09346736492589117
0.23,14,47,-inf,,0.09802051482722163
0.24,14,47,-inf,,0.08246371204033494
0.25,15,46,-inf,,0.08892234420403838
0.26,15,46,-inf,,0.08601488979533314
0.27,16,45,-inf,,0.08608865778893232
0.28,17,44,-inf,,0.08364854730665684
0.29,17,44,-inf,,0.09170296788215637
0.3,18,43,-inf,,0.09742903050035238
0.31,18,43,-inf,,0.08996058912947774
0.32,19,42,-inf,,0.08368203062564135
0.33,20,41,-inf,,0.09241534119471907
0.34,20,41,-inf,,0.0849083410948515
0.35,21,40,-inf,,0.09414168260991573
0.36,21,40,-inf,,0.08590968079864979
0.37,22,39,-inf,,0.0900175965204835
0.38,23,38,-inf,,0.10529759611934424
0.39,23,38,-inf,,0.10024824991822243
0.4,24,37,-inf,,0.09365604907274246
0.41,25,36,-inf,,0.09743544779717922
0.42,25,36,-inf,,0.09954600796103477
0.43,26,35,-inf,,0.0916713808476925
0.44,26,35,-inf,,0.0937796905450523
0.45,27,34,-inf,,0.10431086353957653
0.46,28,33,-inf,,0.09365954957902431
0.47,28,33,-inf,,0.09749838583171368
0.48,29,32,-inf,,0.09692379135638475
0.49,29,32,-inf,,0.09685047909617424
0.5,30,31,-inf,,0.10575962945818901
0.51,31,30,-inf,,0.10997840113937855
0.52,31,30,-inf,,0.09971587382256984
0.53,32,29,-inf,,0.11295764319598675
0.54,32,29,-inf,,0.11380779460072517
0.55,33,28,-inf,,0.11553457200527191
0.56,34,27,-inf,,0.11598937008529901
0.57,34,27,-inf,,0.10713755071163178
0.58,35,26,-inf,,0.12438060022890568
0.59,35,26,-inf,,0.11507228150963783
0.6,36,25,-inf,,0.11540894195437432
0.61,37,24,-inf,,0.12696390718221665
0.62,37,24,-inf,,0.1209139996021986
0.63,38,23,-inf,,0.12327673651278019
0.64,39,22,-inf,,0.12621598601341247
0.65,39,22,-inf,,0.12868703328073025
0.66,40,21,-inf,,0.14116112001240252
0.67,40,21,-inf,,0.13756303310394288
0.68,41,20,-inf,,0.13223483607172967
0.69,42,19,-inf,,0.14787685446441173
0.7,42,19,-inf,,0.14402028992772103
0.71,43,18,-inf,,0.14563384875655175
0.72,43,18,-inf,,0.1496122534573078
0.73,44,17,-inf,,0.16138494849205018
0.74,45,16,-inf,,0.18013184472918511
0.75,45,16,-inf,,0.17966471776366233
0.76,46,15,-inf,,0.19843541130423545
0.77,46,15,-inf,,0.1905470597743988
0.78,47,14,-inf,,0.22355942487716673
0.79,48,13,-inf,,0.22006803452968599
0.8,48,13,-inf,,0.21239605143666268
0.81,49,12,-inf,,0.2656056162714958
0.82,50,11,-inf,,0.27242799699306486
0.83,50,11,-inf,,0.2835352584719658
0.84,51,10,-inf,,0.31030862480401994
0.85,51,10,-inf,,0.29836694955825804
0.86,52,9,-inf,,0.3532857820391655
0.87,53,8,-inf,,0.46812265187501906
0.88,53,8,-inf,,0.45668532460927963
0.89,54,7,-inf,,0.5513801467418671
0.9,54,7,-inf,,0.4836984544992447
0.91,55,6,-inf,,0.6271560388803482
0.92,56,5,-inf,,0.884172123670578
0.93,56,5,-inf,,0.8827824848890304
0.94,57,4,-inf,,1.3437647140026092
0.95,57,4,-inf,,1.2488402718305587
